Time,Ax,Ay,Az,Gx,Gy,Gz,LAT,LNG,ALT
22911,0.1625976562,0.1887207031,0.6770019531,46.630859375,-35.5834960938,32.8979492188,53.1156234741,8.8901805878,9.8000001907
23528,-0.1666259766,-0.1354980469,0.9451904297,2.9296875,27.7709960938,-101.6845703125,53.1156234741,8.8901805878,9.8000001907
23924,-0.1240234375,0.4881591797,0.6719970703,-72.0825195312,-29.78515625,-120.361328125,53.11561203,8.8902292252,9.3999996185
24530,0.1291503906,-0.0599365234,0.6267089844,-55.1147460938,-15.2587890625,-10.6201171875,53.11561203,8.8902292252,9.3999996185
24911,-0.2718505859,0.2388916016,0.876953125,3.0517578125,-50.048828125,62.744140625,53.1156005859,8.8902788162,9.1000003815
25532,-0.6745605469,0.0495605469,1.0162353516,8.8500976562,-27.0385742188,-89.84375,53.1156005859,8.8902788162,9.1000003815
25926,0.0424804688,0.0194091797,1.5947265625,21.240234375,4.0283203125,-107.3608398438,53.1155891418,8.8903312683,9.3999996185
26531,-0.0587158203,-0.3713378906,1.041015625,3.2348632812,18.4936523438,37.353515625,53.1155891418,8.8903312683,9.3999996185
26911,0.2375488281,-0.1828613281,1.0855712891,109.375,36.865234375,46.875,53.1155815125,8.8903913498,9.3000001907
27529,-0.3170166016,0.5775146484,0.7064208984,-82.51953125,-7.080078125,-205.0170898438,53.1155815125,8.8903913498,9.3000001907
27924,-0.3935546875,-0.0428466797,0.0764160156,23.4985351562,20.3857421875,71.77734375,53.1155700684,8.890455246,8.1999998093
28532,0.3172607422,-0.0931396484,1.0648193359,34.423828125,-1.708984375,2.44140625,53.1155700684,8.890455246,8.1999998093
28912,-0.408203125,0.4597167969,0.4958496094,15.5029296875,-68.9086914062,-60.3637695312,53.115562439,8.8905210495,4.8000001907
29529,0.5482177734,0.0927734375,0.6146240234,13.5498046875,33.1420898438,15.4418945312,53.115562439,8.8905210495,4.8000001907
29909,-0.1480712891,-0.1107177734,0.7503662109,-37.59765625,-20.2026367188,-39.794921875,53.115562439,8.89057827,-0.3000000119
30532,0.0994873047,-0.0852050781,0.9722900391,25.2685546875,-5.9204101562,85.9985351562,53.115562439,8.89057827,-0.3000000119
30912,-0.1218261719,0.0928955078,0.8489990234,30.1513671875,-23.4375,44.9829101562,53.1155471802,8.8906183243,0.1000000015
31529,0.0747070312,-0.1834716797,1.27734375,46.2646484375,-52.3071289062,26.85546875,53.1155471802,8.8906183243,0.1000000015
31910,0.0063476562,-0.0828857422,1.0207519531,86.3647460938,1.3427734375,-91.796875,53.1155357361,8.8906564713,0.1000000015
32531,0.1009521484,0.44140625,0.951171875,-26.3671875,124.51171875,-502.3803710938,53.1155357361,8.8906564713,0.1000000015
32925,-0.0266113281,0.5791015625,0.8563232422,-59.9975585938,13.4887695312,-274.7192382812,53.115524292,8.8906917572,-1.7999999523
33529,0.5288085938,-0.0692138672,0.494140625,-32.2875976562,225.341796875,-267.2119140625,53.115524292,8.8906917572,-1.7999999523
33909,0.3050537109,-0.2403564453,0.7003173828,7.6904296875,26.5502929688,-209.0454101562,53.1154975891,8.890707016,-0.400000006
34529,0.1851806641,-0.1242675781,0.8956298828,-115.9057617188,-9.6435546875,-64.208984375,53.1154975891,8.890707016,-0.400000006
34926,0.1824951172,-0.1219482422,1.1138916016,40.8935546875,-0.4272460938,104.4921875,53.1154670715,8.8906946182,-0.1000000015
35528,-0.1920166016,0.0220947266,0.7261962891,22.6440429688,-9.6435546875,-44.43359375,53.1154670715,8.8906946182,-0.1000000015
35908,0.1082763672,-0.1584472656,1.0152587891,51.7578125,-22.1557617188,-36.0107421875,53.1154327393,8.890663147,-1.7999999523
36528,0.0173339844,0.0003662109,0.7788085938,-8.8500976562,-13.2446289062,82.1533203125,53.1154327393,8.890663147,-1.7999999523
36923,0.2041015625,-0.2797851562,1.3046875,-27.4658203125,0.244140625,-60.2416992188,53.1154022217,8.8906412125,-3.0999999046
37530,-0.0228271484,-0.0814208984,1.0029296875,18.798828125,-6.9580078125,-41.259765625,53.1154022217,8.8906412125,-3.0999999046
37911,0.0546875,-0.330078125,0.8356933594,73.9135742188,-12.5122070312,121.58203125,53.1153640747,8.8906145096,-3.9000000954
38530,0.2553710938,-0.0616455078,1.0989990234,2.8686523438,-3.173828125,-72.8759765625,53.1153640747,8.8906145096,-3.9000000954
38910,0.369140625,-0.1195068359,0.9615478516,14.9536132812,20.6298828125,-12.6953125,53.1153259277,8.8905887604,-4.9000000954
39528,-0.080078125,-0.0240478516,0.9582519531,6.7138671875,1.5869140625,78.3081054688,53.1153259277,8.8905887604,-4.9000000954
39908,-0.1096191406,-0.0718994141,0.8984375,18.798828125,-3.7231445312,18.4936523438,53.1152877808,8.8905630112,-5.6999998093
40528,0.359375,0.0925292969,1.1988525391,29.78515625,-4.7607421875,53.1005859375,53.1152877808,8.8905630112,-5.6999998093
40909,-0.0086669922,-0.0688476562,1.0970458984,5.9814453125,-49.8657226562,-67.9321289062,53.1152534485,8.8905305862,-7.4000000954
41526,-0.0739746094,-0.1103515625,0.9683837891,66.2841796875,2.7465820312,123.9013671875,53.1152534485,8.8905305862,-7.4000000954
41921,-0.2680664062,0.0792236328,0.9553222656,-34.9731445312,-39.6728515625,-69.4580078125,53.1152153015,8.8905010223,-7.6999998093
42528,-0.0576171875,-0.0620117188,0.8188476562,47.9125976562,-28.6865234375,11.0473632812,53.1152153015,8.8905010223,-7.6999998093
42908,-0.0786132812,0.1715087891,0.8376464844,-80.2001953125,-3.0517578125,-77.392578125,53.1151733398,8.8904666901,-6.5999999046
43528,0.1094970703,-0.0642089844,0.9613037109,39.0625,-2.8686523438,17.08984375,53.1151733398,8.8904666901,-6.5999999046
43923,0.1677246094,0.0993652344,0.8946533203,-47.4853515625,-17.4560546875,-32.71484375,53.1151313782,8.8904323578,-5.9000000954
44530,-0.0096435547,0.0986328125,0.6103515625,-48.4619140625,-22.0947265625,-39.4897460938,53.1151313782,8.8904323578,-5.9000000954
44911,-0.1239013672,-0.1145019531,0.9575195312,43.3959960938,-19.7143554688,119.9340820312,53.1150894165,8.8903903961,-5.5999999046
45528,0.0632324219,-0.2028808594,0.7360839844,102.8442382812,-12.6953125,12.8784179688,53.1150894165,8.8903903961,-5.5999999046
45922,-0.1458740234,0.1793212891,0.7012939453,-110.83984375,-17.333984375,-142.1508789062,53.1150512695,8.8903560638,-7.1999998093
46530,0.0710449219,-0.1470947266,0.8768310547,100.5859375,-10.9252929688,131.34765625,53.1150512695,8.8903560638,-7.1999998093
46911,0.1134033203,0.1433105469,0.9661865234,-38.818359375,9.3994140625,-97.3510742188,53.1150169373,8.8903217316,-8.3999996185
47529,-0.0313720703,-0.0349121094,0.8873291016,59.0209960938,-3.0517578125,69.091796875,53.1150169373,8.8903217316,-8.3999996185
47910,-0.0576171875,0.0192871094,2.1396484375,-96.5576171875,-44.3115234375,-134.6435546875,53.1149787903,8.8902835846,-8.5
48529,-0.9604492188,-0.5692138672,-0.0129394531,7.9956054688,-22.705078125,91.9799804688,53.1149787903,8.8902835846,-8.5
48909,-0.2996826172,0.701171875,0.8179931641,-10.6201171875,-62.6831054688,72.3266601562,53.1149406433,8.8902463913,-8.8000001907
49531,0.5235595703,-0.2348632812,1.5904541016,48.9501953125,51.513671875,9.8876953125,53.1149406433,8.8902463913,-8.8000001907
49911,1.4910888672,-0.3181152344,1.4906005859,-46.630859375,236.2060546875,-130.7373046875,53.1148986816,8.8902139664,-9.3000001907
50529,0.1916503906,-0.1331787109,0.9475097656,21.3012695312,-2.2583007812,10.0708007812,53.1148986816,8.8902139664,-9.3000001907
50925,-0.0158691406,-0.0460205078,0.8472900391,49.4384765625,-35.8276367188,4.2114257812,53.11485672,8.8901748657,-10.3000001907
51529,-0.0440673828,0.1158447266,0.9853515625,-23.6206054688,-21.1791992188,-26.4282226562,53.11485672,8.8901748657,-10.3000001907
51909,0.2725830078,-0.3337402344,0.9841308594,85.0830078125,-3.7841796875,69.091796875,53.1148147583,8.8901309967,-10.5
52529,0.1141357422,-0.0495605469,1.0344238281,-53.8940429688,-16.4184570312,18.1274414062,53.1148147583,8.8901309967,-10.5
52924,0.1715087891,-0.0032958984,1.3211669922,52.3071289062,-4.6997070312,48.8891601562,53.1147689819,8.8900909424,-9.5
53528,0.3638916016,0.0603027344,1.3641357422,-24.7192382812,-5.1879882812,6.34765625,53.1147689819,8.8900909424,-9.5
53908,-0.0804443359,-0.0880126953,0.7978515625,115.4174804688,-12.2680664062,12.2680664062,53.1147270203,8.8900575638,-9.1999998093
54531,-0.1207275391,0.0374755859,0.9271240234,-86.6088867188,-28.3203125,-34.8510742188,53.1147270203,8.8900575638,-9.1999998093
54925,-0.1864013672,-0.1737060547,0.8721923828,86.7309570312,-10.3759765625,140.5639648438,53.1146850586,8.8900175095,-9.5
55529,-0.1568603516,0.2041015625,0.8092041016,-34.6069335938,-33.1420898438,37.9638671875,53.1146850586,8.8900175095,-9.5
55909,-0.1390380859,-0.2216796875,1.0111083984,151.611328125,-11.0473632812,74.462890625,53.1146392822,8.8899936676,-10.1000003815
56530,0.1343994141,0.1119384766,1.0540771484,-63.1103515625,-0.9765625,-63.2934570312,53.1146392822,8.8899936676,-10.1000003815
56910,-0.0565185547,-0.1236572266,0.9581298828,-8.9111328125,-18.1884765625,18.9819335938,53.1145973206,8.8899621964,-9.3000001907
57528,0.2904052734,-0.1541748047,1.068359375,-31.3720703125,-3.1127929688,73.3032226562,53.1145973206,8.8899621964,-9.3000001907
57909,-0.3220214844,-0.1181640625,0.7358398438,109.9243164062,-23.0712890625,91.064453125,53.1145553589,8.8899316788,-8.3999996185
58530,0.0020751953,-0.0725097656,1.0415039062,-19.3481445312,-33.0810546875,-10.4370117188,53.1145553589,8.8899316788,-8.3999996185
58910,-0.0821533203,-0.2486572266,1.0485839844,94.970703125,-39.6728515625,46.0205078125,53.1145133972,8.8899030685,-7.4000000954
59530,0.0317382812,0.2692871094,0.8088378906,-76.5380859375,-38.5131835938,-81.1157226562,53.1145133972,8.8899030685,-7.4000000954
59926,-0.2160644531,-0.0020751953,1.0489501953,98.388671875,-19.2260742188,33.5693359375,53.1144714355,8.8898630142,-7.5
60531,0.0256347656,0.1822509766,0.8084716797,-47.4853515625,-24.90234375,-62.8662109375,53.1144714355,8.8898630142,-7.5
60911,0.2006835938,-0.1975097656,1.0318603516,43.2739257812,-16.7236328125,63.9038085938,53.1144332886,8.889831543,-8.1999998093
61529,0.2614746094,0.1326904297,1.1975097656,-89.1723632812,6.8969726562,-21.1791992188,53.1144332886,8.889831543,-8.1999998093
61923,0.064453125,-0.1951904297,1.0115966797,105.7739257812,-7.8125,129.2114257812,53.1143913269,8.8897943497,-9.3999996185
62528,0.0279541016,0.2885742188,0.7888183594,-58.349609375,-31.73828125,-54.1381835938,53.1143913269,8.8897943497,-9.3999996185
62909,-0.1696777344,-0.2055664062,0.5944824219,87.2802734375,-26.2451171875,113.3422851562,53.1143531799,8.8897676468,-9.3999996185
63531,0.0991210938,-0.0068359375,0.927734375,-97.4731445312,-6.591796875,-24.7192382812,53.1143531799,8.8897676468,-9.3999996185
63911,0.0541992188,-0.2587890625,1.0191650391,46.3256835938,18.1274414062,150.9399414062,53.1143074036,8.8897314072,-9.5
64534,-0.1076660156,0.4663085938,0.6821289062,-74.5239257812,-89.7827148438,-95.2758789062,53.1143074036,8.8897314072,-9.5
64914,0.4118652344,-0.0083007812,0.9217529297,172.3022460938,16.1743164062,135.1928710938,53.1142654419,8.8897066116,-10.5
65531,0.4658203125,-0.01953125,1.1966552734,-172.4243164062,-2.0141601562,-50.5981445312,53.1142654419,8.8897066116,-10.5
65911,0.8004150391,-0.30859375,1.7744140625,51.3305664062,54.5654296875,186.1572265625,53.1142234802,8.8896789551,-10
66529,0.0029296875,0.0821533203,0.919921875,-46.6918945312,-23.92578125,2.5024414062,53.1142234802,8.8896789551,-10
66910,-0.1748046875,-0.0421142578,0.6264648438,86.669921875,-11.3525390625,94.7875976562,53.1141777039,8.8896522522,-10.5
67528,0.193359375,-0.1395263672,1.2192382812,-62.6220703125,-7.8735351562,0.4272460938,53.1141777039,8.8896522522,-10.5
67909,0.1657714844,-0.2232666016,1.2600097656,103.3935546875,19.3481445312,70.8618164062,53.1141357422,8.8896350861,-9.3999996185
68530,-0.1149902344,0.076171875,0.6120605469,-135.0708007812,-30.7006835938,-23.7426757812,53.1141357422,8.8896350861,-9.3999996185
68926,0.3029785156,0.0783691406,1.1104736328,83.9233398438,10.6811523438,143.310546875,53.1140975952,8.8896169662,-10.1000003815
69530,-0.0736083984,0.1154785156,0.6495361328,-50.3540039062,-12.451171875,-95.8862304688,53.1140975952,8.8896169662,-10.1000003815
69910,0.2780761719,-0.1176757812,0.9248046875,37.0483398438,-34.1796875,106.689453125,53.1140594482,8.8895969391,-10.5
70530,0.0706787109,-0.0295410156,1.3090820312,-67.9931640625,2.0751953125,-87.890625,53.1140594482,8.8895969391,-10.5
70924,0.0906982422,-0.0217285156,0.9957275391,47.4853515625,2.685546875,81.6040039062,53.114025116,8.8895711899,-12.1999998093
71530,-0.0751953125,0.0517578125,0.9831542969,-93.75,-6.4086914062,-73.1201171875,53.114025116,8.8895711899,-12.1999998093
71910,-0.0108642578,0.1661376953,0.9200439453,19.5922851562,0.5493164062,66.40625,53.1139831543,8.8895454407,-13.6999998093
72529,0.1968994141,0.1694335938,1.0310058594,-63.5986328125,-13.8549804688,-64.3310546875,53.1139831543,8.8895454407,-13.6999998093
72910,0.1071777344,-0.0114746094,1.1954345703,8.8500976562,9.6435546875,69.8852539062,53.1139411926,8.8895168304,-14
73529,-0.2689208984,0.1628417969,0.6228027344,-78.1860351562,-41.6259765625,-79.7729492188,53.1139411926,8.8895168304,-14
73909,-0.1936035156,0.1101074219,0.8218994141,-8.2397460938,0.9765625,59.8754882812,53.113899231,8.8894796371,-14
74530,0.2397460938,-0.1226806641,1.1008300781,2.3803710938,-12.939453125,-17.822265625,53.113899231,8.8894796371,-14
74910,0.5645751953,-0.5125732422,2.1610107422,10.0708007812,-27.34375,24.90234375,53.1138572693,8.8894491196,-15.6999998093
75529,0.0301513672,-0.0424804688,0.9139404297,3.662109375,-42.1142578125,-61.8286132812,53.1138572693,8.8894491196,-15.6999998093
75910,-0.8594970703,0.3045654297,1.3420410156,-9.7045898438,-154.4799804688,17.7612304688,53.113822937,8.8894138336,-17
76529,0.6215820312,-0.4642333984,1.2375488281,90.8203125,42.2973632812,19.9584960938,53.113822937,8.8894138336,-17
76909,0.4790039062,-0.2985839844,1.7590332031,-8.9721679688,69.580078125,-128.662109375,53.11378479,8.8893756866,-16.7000007629
77530,0.4793701172,-0.2100830078,1.7625732422,-71.2280273438,-13.8549804688,-130.6762695312,53.11378479,8.8893756866,-16.7000007629
77925,-0.9705810547,-0.1560058594,0.6607666016,119.2016601562,-11.4135742188,96.435546875,53.1137466431,8.8893260956,-17.7000007629
78530,-0.6348876953,0.2990722656,0.4154052734,38.8793945312,-3.662109375,-196.8994140625,53.1137466431,8.8893260956,-17.7000007629
78911,-0.4134521484,0.5362548828,-0.1254882812,10.1928710938,-63.4765625,-226.9897460938,53.1137123108,8.8892774582,-17.5
79530,0.5864257812,0.2806396484,2.41796875,-61.9506835938,114.9291992188,-255.37109375,53.1137123108,8.8892774582,-17.5
79925,-1.0849609375,-1.0548095703,0.6682128906,60.7299804688,26.9775390625,-117.5537109375,53.113697052,8.8892145157,-15.1000003815
80532,-0.2303466797,0.3304443359,0.8459472656,-222.4731445312,3.7231445312,-287.9028320312,53.113697052,8.8892145157,-15.1000003815
80913,-0.1231689453,-0.0794677734,1.5374755859,-75.927734375,-12.5122070312,41.0766601562,53.113697052,8.8891439438,-15.3000001907
81531,-0.1528320312,0.0710449219,0.9898681641,-99.0600585938,43.701171875,70.7397460938,53.113697052,8.8891439438,-15.3000001907
81912,-0.9483642578,0.1361083984,0.5294189453,10.3759765625,-61.279296875,115.8447265625,53.1137046814,8.889081955,-15.6000003815
82532,-0.0646972656,0.7995605469,1.3990478516,-41.8701171875,-2.0751953125,7.8125,53.1137046814,8.889081955,-15.6000003815
82912,-0.0850830078,-0.3176269531,1.4293212891,-34.3627929688,-4.9438476562,114.1967773438,53.1137161255,8.8890247345,-18.6000003815
83531,0.1402587891,-0.3214111328,1.1695556641,10.6811523438,18.4936523438,49.6215820312,53.1137161255,8.8890247345,-18.6000003815
83911,-0.6520996094,-0.1851806641,1.4929199219,-17.5170898438,4.8828125,143.7377929688,53.1137161255,8.8889656067,-18.6000003815
84531,-0.9838867188,-0.10546875,-0.4816894531,10.6201171875,-23.8647460938,85.3881835938,53.1137161255,8.8889656067,-18.6000003815
84926,0.1978759766,0.1221923828,0.5795898438,54.3823242188,-6.591796875,4.2114257812,53.113697052,8.8889036179,-17.2999992371
85531,0.3374023438,-0.2080078125,1.0020751953,141.845703125,5.6762695312,195.556640625,53.113697052,8.8889036179,-17.2999992371
85912,-0.1303710938,0.0729980469,0.6314697266,-27.83203125,-24.169921875,-130.126953125,53.1136665344,8.8888425827,-17.1000003815
86531,0.0443115234,-0.2150878906,0.9396972656,71.7163085938,-2.7465820312,82.8857421875,53.1136665344,8.8888425827,-17.1000003815
86925,0.0726318359,-0.0036621094,0.8608398438,-57.12890625,-1.8920898438,-99.7924804688,53.1136322021,8.8887834549,-15.6999998093
87531,-0.0001220703,-0.0388183594,0.8635253906,68.1762695312,-14.0380859375,109.375,53.1136322021,8.8887834549,-15.6999998093
87912,0.0855712891,-0.2550048828,0.8140869141,-13.9770507812,-12.6953125,-71.2280273438,53.1135978699,8.8887329102,-15.1999998093
88532,0.0103759766,-0.2236328125,1.0786132812,121.2158203125,4.5166015625,96.0693359375,53.1135978699,8.8887329102,-15.1999998093
88912,-0.0563964844,0.1544189453,0.8720703125,-53.466796875,-35.3393554688,-102.05078125,53.1135635376,8.8886842728,-13.8000001907
89531,0.1180419922,-0.3099365234,1.0867919922,144.4702148438,6.8969726562,75.9887695312,53.1135635376,8.8886842728,-13.8000001907
