"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
3.207437658E1,5.311569330E1,8.890050098E0,2.617894293E0,1.306968331E-1,-1.000000000E0,6.417566904E0,6.417566904E0
3.307437611E1,5.311571650E1,8.890088149E0,2.567324959E0,1.576833599E-1,-1.000000000E0,5.362900726E0,5.362900726E0
3.407437277E1,5.311572082E1,8.890087263E0,2.530298213E0,9.680517646E-2,-1.000000000E0,5.347913161E0,5.347913161E0
3.507436979E1,5.311571951E1,8.890094588E0,2.545939109E0,2.731436977E-1,-1.000000000E0,5.322941440E0,5.322941440E0
3.607436645E1,5.311571862E1,8.890097033E0,2.746698547E0,1.066225367E-1,-1.000000000E0,5.328553948E0,5.328553948E0
3.707436240E1,5.311571622E1,8.890098965E0,2.623274234E0,2.848470952E-1,-1.000000000E0,5.320210836E0,5.320210836E0
3.807435894E1,5.311571116E1,8.890116312E0,2.838429262E0,5.874269789E-1,-1.000000000E0,5.395683711E0,5.395683711E0
3.907435226E1,5.311570486E1,8.890147865E0,2.972420328E0,1.103877794E0,1.191501294E2,5.404887299E0,5.404887299E0
4.007434690E1,5.311569737E1,8.890171892E0,2.872169781E0,1.441945499E0,1.154856573E2,5.438309468E0,5.438309468E0
4.107434034E1,5.311568761E1,8.890204801E0,2.701625573E0,1.875692420E0,1.183155485E2,5.432565236E0,5.432565236E0
4.207433224E1,5.311567821E1,8.890264549E0,2.675194448E0,2.686000481E0,1.131987863E2,5.429617150E0,5.429617150E0
4.307432556E1,5.311567028E1,8.890322996E0,2.724467853E0,3.103942912E0,1.060323894E2,5.418875383E0,5.418875383E0
4.407432306E1,5.311565502E1,8.890355319E0,2.025678311E0,2.717339524E0,1.120536060E2,5.412375595E0,5.412375595E0
4.507431054E1,5.311564756E1,8.890382452E0,1.912215394E0,2.114400421E0,1.088219905E2,5.406205365E0,5.406205365E0
4.607430291E1,5.311563335E1,8.890393409E0,1.194157013E0,1.274128279E0,1.288155995E2,5.370311762E0,5.370311762E0
4.707429504E1,5.311561556E1,8.890427799E0,7.421818459E-1,1.901242793E0,1.280528385E2,5.374671781E0,5.374671781E0
4.807428515E1,5.311560794E1,8.890477604E0,1.400085431E0,2.356571380E0,1.144190151E2,5.442454766E0,5.442454766E0
4.907427454E1,5.311558661E1,8.890524989E0,1.683068394E0,2.888065847E0,1.177328461E2,5.470929379E0,5.470929379E0
5.007426655E1,5.311557596E1,8.890558608E0,1.182073032E0,2.298932043E0,1.109515873E2,5.695502225E0,5.695502225E0
